EduLevel,All,White Only,White Non-spanic Only,Black,Asian,Hispanic,White or Comb,Asian or Comb,Black or Comb
None,0.00362438492784,0.00324736643304,0.00127266132573,0.00289065355351,0.00997079980058,0.0116771974726,0.00324068110977,0.0094675350836,0.00293458710675
1st - 4th grade,0.0077441299825,0.00767511646452,0.0019089919886,0.0052496926604,0.0119649597607,0.0340718227625,0.00766634895283,0.0118847780837,0.00530118961219
5th - 6th grade,0.0144810277071,0.0154236790196,0.00256441257135,0.00750905405854,0.0165942596681,0.0713162174411,0.0153584584868,0.0159135164171,0.00769934681771
7th - 8th grade,0.0168917803243,0.0172650774332,0.0115175849979,0.0130910057481,0.0167366996653,0.0439627822656,0.017275045725,0.0163163902505,0.0130952005301
9th grade,0.0154841319639,0.0158905863096,0.00897862565303,0.0124929394956,0.0101132397977,0.0474819376683,0.0160488420619,0.0100047001947,0.01303209113
10th grade,0.0187039727882,0.0174959080035,0.014960133884,0.0272784662923,0.0134605797308,0.0302594044096,0.0175687163502,0.0128248170281,0.0268846044618
11th grade /2,0.0455070836498,0.0414078566332,0.0338464279578,0.0701398810513,0.0295562994089,0.0779812844917,0.0419845951725,0.0305512656953,0.0703354264618
High school graduate,0.295787787722,0.296612036765,0.294245661816,0.34116357112,0.185741756285,0.307366232104,0.296153945233,0.188612099644,0.338203275378
"Some college, no degree",0.190763184835,0.186474377807,0.190441040782,0.229225504203,0.145431237091,0.171692127223,0.187717354904,0.150540522393,0.231422170332
"Associate's degree, occupational",0.040718602424,0.0419901792085,0.0444858766409,0.0407017310695,0.0235738195285,0.0302060838732,0.0418351838017,0.023970993084,0.0402322425925
"Associate's degree, academic",0.0523141573924,0.0535841692198,0.0570534072325,0.050935309167,0.0383163592337,0.0381775040657,0.0535614003452,0.0391459074733,0.0513710517182
Bachelor's degree,0.192013969156,0.195623662232,0.216810583452,0.129614247267,0.307171853857,0.0962702284785,0.194889100698,0.303498287786,0.129784481399
Master's degree,0.0771234437436,0.077873840601,0.0884754153648,0.0561185500216,0.129834057403,0.0292996347543,0.0774878281254,0.127039548781,0.0557887097283
Professional degree,0.0139361315676,0.0147206950099,0.0165509605411,0.00654550287404,0.0235025995299,0.00573195766349,0.0146010974008,0.0229638085006,0.00672115111546
Doctoral degree,0.014906211816,0.0147102027112,0.0168754891792,0.00701066551484,0.0380314792394,0.00450558532619,0.014606249517,0.0374001208622,0.00722602631662
