citing_cluster,cited_cluster
41,13,1.0
4,41,1.0
3,35,1.0
41,2,1.0
47,35,9.0
4,36,5.0
19,4,4.0
40,41,2.0
44,4,5.0
8,5,3.0
37,35,4.0
35,15,1.0
11,5,1.0
35,21,2.0
5,11,1.0
4,5,473.0
1,40,16.0
4,35,76.0
17,13,1.0
43,13,9.0
6,35,1.0
40,35,118.0
43,35,113.0
33,4,3.0
38,35,1.0
35,41,2.0
44,35,3.0
38,5,2.0
48,5,3.0
25,5,4.0
2,1,3.0
28,1,1.0
5,1,13.0
29,4,2.0
19,5,2.0
40,4,112.0
5,30,1.0
41,1,1.0
5,43,4.0
42,35,19.0
43,2,1.0
46,13,1.0
35,40,22.0
40,1,20.0
21,5,11.0
36,35,20.0
47,5,4.0
35,14,1.0
39,35,1.0
36,4,34.0
0,5,3.0
45,35,4.0
7,4,1.0
45,40,1.0
35,29,1.0
25,4,1.0
13,25,1.0
4,13,17.0
30,5,1.0
25,35,2.0
40,5,222.0
4,43,3.0
17,5,4.0
43,5,74.0
35,43,10.0
21,4,4.0
32,4,4.0
47,4,3.0
5,19,1.0
13,43,4.0
35,2,5.0
36,5,43.0
35,36,1.0
13,5,115.0
2,4,45.0
4,7,2.0
28,4,5.0
44,5,5.0
26,35,1.0
21,35,7.0
8,40,1.0
29,35,1.0
32,40,1.0
42,40,3.0
13,35,262.0
35,11,4.0
1,13,4.0
19,35,1.0
5,28,1.0
27,35,3.0
17,4,3.0
22,35,1.0
43,4,13.0
42,4,2.0
30,35,2.0
35,42,1.0
9,35,2.0
17,35,1.0
32,5,7.0
35,5,345.0
14,4,3.0
13,4,18.0
2,5,71.0
4,0,2.0
28,5,10.0
40,13,7.0
20,35,2.0
1,45,1.0
31,5,4.0
28,35,10.0
23,35,3.0
31,35,4.0
10,35,1.0
18,35,1.0
7,35,5.0
49,35,3.0
49,5,1.0
4,15,1.0
5,40,43.0
4,32,1.0
42,5,3.0
35,45,1.0
41,40,3.0
11,35,2.0
13,41,1.0
35,4,156.0
34,4,4.0
14,5,5.0
24,5,1.0
1,5,92.0
35,9,1.0
27,5,3.0
4,1,38.0
5,4,218.0
31,4,5.0
43,1,1.0
8,35,5.0
20,5,2.0
23,5,2.0
35,13,46.0
43,40,5.0
33,13,1.0
48,35,3.0
5,13,30.0
41,5,49.0
5,36,4.0
46,4,3.0
13,40,1.0
35,7,1.0
34,5,5.0
16,35,1.0
37,5,1.0
1,4,68.0
45,5,4.0
27,4,3.0
14,35,16.0
4,2,21.0
6,5,1.0
1,35,95.0
40,2,2.0
4,40,31.0
2,40,6.0
5,45,3.0
28,40,1.0
8,4,7.0
32,1,1.0
35,1,23.0
14,13,1.0
12,5,1.0
15,5,1.0
48,13,1.0
13,21,1.0
1,2,6.0
2,35,16.0
1,41,4.0
41,4,13.0
46,35,8.0
5,35,112.0
33,35,5.0
46,5,1.0
36,40,1.0
41,35,29.0
33,5,1.0
37,4,2.0
48,4,1.0
1,8,1.0
5,2,5.0
29,5,3.0
